fare_id,route_id
0,101
0,112
1,102
2,103
3,104
4,105
5,106
6,107
7,108
8,109
10,111
11,113
12,114
13,115
17,201
18,203
19,204
19,214
20,205
21,206
22,207
23,208
25,211
26,212
27,213
28,215
29,301
30,302
30,322
31,303
31,306
31,309
31,310
31,311
31,313
31,318
32,304
32,305
34,308
35,314
36,315
37,316
37,412
38,317
39,321
41,325
41,403
42,401
43,402
44,404
45,406
46,411
47,414
